,app_num,1,pub_num
216,12357330,349831,8087310
217,12039552,350051,8087311
218,12175722,350282,8087312
219,12420245,350470,8087313
220,12706144,350749,8087314
221,11868641,351113,8087315
222,12004605,351846,8087316
223,11935491,352145,8087317
224,11887593,352380,8087318
225,12468891,352718,8087319
226,12222685,352966,8087320
227,12343856,353288,8087321
228,12112395,353574,8087322
229,12297456,354035,8087323
230,12763968,354327,8087324
231,12460385,357302,8087325
232,13031543,357823,8087326
233,12227584,358271,8087327
234,12908387,358824,8087328
235,12070337,359560,8087329
236,12538254,359952,8087330
237,12366789,360301,8087331
238,12719314,360589,8087332
239,10320708,360879,8087333
240,11643922,361585,8087334
241,12974898,361976,8087335
242,12266445,362431,8087336
243,12800625,363049,8087337
244,12364428,363615,8087338
245,11999345,364110,8087339
246,12940578,365468,8087340
247,12478118,365894,8087341
248,12069122,366752,8087342
249,12687561,367041,8087343
250,12543767,367387,8087344
251,12104883,367697,8087345
252,11825999,368202,8087346
253,10589458,369333,8087347
254,12608486,372550,8087348
255,12776194,373260,8087349
256,11719282,373814,8087350
257,12478439,374172,8087351
258,12104206,374609,8087352
259,12526086,374878,8087353
260,11810710,375145,8087354
261,11825576,375526,8087355
262,11943856,375955,8087356
263,12270534,376315,8087357
264,12571683,376656,8087358
265,12534639,376884,8087359
266,12647740,377148,8087360
267,12738564,377565,8087361
268,12559096,377874,8087362
269,12704263,378188,8087363
270,12731231,378567,8087364
271,12248446,379038,8087365
272,12320056,379547,8087366
273,12320762,379810,8087367
274,12232938,380165,8087368
275,12289887,380467,8087369
276,12309647,380728,8087370
277,12587330,381127,8087371
278,12752438,382151,8087372
279,12437982,382501,8087373
280,12460264,383032,8087374
281,12472857,383319,8087375
282,12084407,383572,8087376
283,12084460,383897,8087377
284,12528964,384381,8087378
285,11211176,384907,8087379
286,12610187,385469,8087380
287,13025817,385770,8087381
288,12452214,386112,8087382
289,12462234,386584,8087383
290,12757386,387131,8087384
291,12726583,387405,8087385
292,12718750,388134,8087386
293,12218312,388562,8087387
294,12107972,389231,8087388
295,12456735,389587,8087389
296,12255751,390500,8087390
297,10879547,390851,8087391
298,12155243,391202,8087392
299,12152761,391615,8087393
300,12149321,392443,8087394
301,12381839,392843,8087395
302,13017240,393227,8087396
303,12899370,393580,8087397
304,12476311,393906,8087398
305,12556963,394210,8087399
306,12234813,394501,8087400
307,12170050,395045,8087401
308,12867563,395416,8087402
309,12379802,395761,8087403
310,12684770,396196,8087404
311,11895135,396467,8087405
312,12970258,396880,8087406
313,11526133,397135,8087407
314,12247640,399857,8087408
315,12365871,400213,8087409
316,11704533,400552,8087410
317,11883024,401121,8087411
318,12194118,401440,8087412
319,11035702,401929,8087413
320,12442938,402643,8087414
321,12391803,403496,8087415
322,12431256,404404,8087416
323,12800029,405110,8087417
324,12758984,405453,8087418
325,13073340,406139,8087419
326,13093633,406641,8087420
327,12641866,407004,8087421
